mean,var,calculus,maxAbs,deltaT,median,gradientF,gradientS,bS,label
-0.021947422,0.000118582,-3.226271007,0.034927412,147,-0.024434958,-0.00051037,0.000493694,-0.039963092,0
0.021718996,0.000105278,5.169121079,0.033564061,238,0.024336246,0.00033177,-0.000259015,0.038636226,0
-0.006475124,1.07E-05,-0.75111443,0.010359774,116,-0.007206537,-0.000206486,0.000178817,-0.011847083,0
-0.014937985,6.78E-05,-2.449829576,0.025453244,164,-0.016113153,-0.000312893,0.00036267,-0.029172598,0
0.014274711,4.39E-05,3.568677635,0.024335673,250,0.013453124,0.000345829,-0.000116632,0.023897421,0
-0.018111953,9.70E-05,-3.024696176,0.030680629,167,-0.019515499,-0.000386716,0.000418465,-0.034965135,0
0.009950294,2.28E-05,1.45274291,0.015450547,146,0.011159532,0.000234974,-0.000207895,0.017687877,0
0.022485312,0.000364924,7.824888664,0.058226062,348,0.011478375,0.000619444,-0.000216676,0.044493721,0
-0.007650681,1.57E-05,-1.116999431,0.012457136,146,-0.008443248,-0.000191596,0.000178528,-0.014202045,0
-0.006863069,2.10E-05,-1.894207053,0.014276769,276,-0.005660782,-0.000184366,7.65E-05,-0.013313108,0
0.003953783,4.10E-06,0.569344803,0.006424468,144,0.004351308,8.75E-05,-0.000103605,0.007384441,0
-0.007289224,1.90E-05,-2.565806698,0.01506523,352,-0.005588623,-0.000119369,5.86E-05,-0.01294951,0
-0.016534014,7.80E-05,-3.372938794,0.027760339,204,-0.018004158,-0.00023906,0.000376892,-0.032121605,0
0.011947697,3.92E-05,2.126689989,0.019886167,178,0.012864383,0.000307892,-0.000195219,0.021986495,0
-0.009105534,1.77E-05,-4.434394977,0.017098462,487,-0.008480462,-0.000182202,1.80E-05,-0.012352379,0
0.006167341,2.36E-05,2.035222563,0.015731337,330,0.005053345,5.00E-05,-0.000144802,0.015750828,0
-0.009313537,3.20E-05,-1.210759807,0.016888608,130,-0.009780869,-0.000250139,0.000342969,-0.019250469,0
-0.034190217,0.000371633,-6.427760754,0.059014505,188,-0.036755248,-0.000666438,0.000740868,-0.067504679,0
0.005634719,9.96E-06,0.681800948,0.009800045,121,0.005953409,0.000285283,-0.00012718,0.010529783,0
-0.007106027,1.74E-05,-2.352094854,0.015249658,331,-0.006790546,-0.000189448,2.69E-05,-0.010010792,0
-0.006797449,1.57E-05,-1.087591799,0.012012001,160,-0.007189209,-0.000138869,0.000199079,-0.013856012,0
0.007196222,1.26E-05,0.949901331,0.011457128,132,0.007955436,0.000200255,-0.000168417,0.013022382,0
-0.004573218,5.03E-06,-0.722568512,0.007259339,158,-0.005059726,-0.000118732,8.09E-05,-0.008207757,0
0.002839567,1.83E-06,0.309512766,0.004408564,109,0.003157225,7.50E-05,-8.96E-05,0.005047946,0
-0.008140555,1.94E-05,-1.546705508,0.013997815,190,-0.008541629,-0.000191822,0.000135677,-0.015397527,0
0.010833113,2.50E-05,3.564094054,0.018607141,329,0.011183893,0.000212651,-1.82E-05,0.013095842,0
0.025374017,0.000178215,9.160019965,0.045936102,361,0.020950485,0.000164638,-0.000291835,0.052654758,0
-0.01082318,3.54E-05,-6.76448777,0.022897732,625,-0.008017087,-1.19E-05,0.000150162,-0.025363356,0
-0.012039902,3.78E-05,-1.85414494,0.019388525,154,-0.013370735,-0.000258931,0.000275206,-0.022383963,0
0.015467634,6.96E-05,5.723024582,0.029546241,370,0.015608253,4.52E-05,-0.000310942,0.033732919,0
-0.005677142,5.87E-06,-0.789122805,0.008392267,139,-0.006331206,-9.41E-05,0.000150125,-0.009686751,0
0.007728799,1.67E-05,0.98928621,0.012791514,128,0.008453278,0.00022742,-0.000209164,0.0144919,0
0.007170252,8.15E-06,2.760547056,0.011491019,385,0.00733844,4.83E-05,-1.78E-05,0.010251372,0
-0.008437213,1.68E-05,-3.062708259,0.014013944,363,-0.009175508,-0.000110033,2.01E-05,-0.010059011,0
0.003675382,5.63E-06,0.746102566,0.007803495,203,0.002490605,4.48E-05,-0.000144517,0.008954431,0
0.014328291,5.12E-05,2.392824586,0.023064121,167,0.015775659,0.000255751,-0.000326321,0.026607344,0
-0.011477405,0.000123415,-3.420266828,0.032529141,298,-0.004955378,-0.000493623,0.000121511,-0.022518964,0
0.007375196,1.57E-05,0.907149149,0.01234425,123,0.008017092,0.000233565,-0.000207522,0.013975604,0
-0.004916959,4.21E-06,-0.599869036,0.007161823,122,-0.005504546,-8.59E-05,0.0001485,-0.008229333,0
0.067825434,0.00238985,16.27810409,0.142223918,240,0.063079988,0.001439381,-0.001363308,0.149916625,1
-0.011237405,4.03E-05,-1.483337483,0.019276569,132,-0.012180182,-0.000283182,0.000351157,-0.022153219,1
0.014928093,5.89E-05,1.955580196,0.024294168,131,0.016342226,0.000438889,-0.000365055,0.027464321,1
-0.009167848,1.77E-05,-1.164316644,0.013836239,127,-0.010316438,-0.000214663,0.000225531,-0.015958576,1
0.01291078,6.30E-05,2.801639296,0.023839182,217,0.013146706,0.00032685,-0.000198623,0.025392134,1
0.005879337,8.97E-06,1.563903761,0.010700031,266,0.004770338,0.000123963,-4.88E-05,0.009885354,1
-0.01760919,9.19E-05,-4.75448125,0.034135563,270,-0.014286894,-0.000417929,0.000151742,-0.030432297,1
0.008765667,3.03E-05,1.490163368,0.016320673,170,0.008959521,0.000308779,-0.000167375,0.017287495,1
-0.002987125,2.65E-06,-0.379364893,0.005143542,127,-0.003162071,-6.83E-05,0.000112382,-0.00592227,1
